Time,Time Code,Country,Country Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]"
2012Q2,2012Q2,China,CHN,1715165.91592598
2012Q2,2012Q2,India,IND,431509.166837307
2012Q2,2012Q2,Indonesia,IDN,202426.871551282
2012Q2,2012Q2,Mexico,MEX,275722.420147541
2012Q2,2012Q2,Poland,POL,132088.877361609
2012Q2,2012Q2,South Africa,ZAF,94032.0837487874
2012Q2,2012Q2,Korea Rep.,KOR,303476.439071163
2012Q2,2012Q2,Turkey,TUR,214287.094488389
2012Q3,2012Q3,Argentina,ARG,105995.497843729
2012Q3,2012Q3,Brazil,BRA,556974.492239006
2012Q3,2012Q3,China,CHN,1746406.16824729
2012Q3,2012Q3,India,IND,438289.448067474
2012Q3,2012Q3,Indonesia,IDN,204971.821178474
2012Q3,2012Q3,Mexico,MEX,277414.016157893
2012Q3,2012Q3,Poland,POL,132617.251833588
2012Q3,2012Q3,South Africa,ZAF,94313.2693891569
2012Q3,2012Q3,Korea Rep.,KOR,304789.864856196
2012Q3,2012Q3,Turkey,TUR,217675.229035772
2012Q4,2012Q4,Argentina,ARG,107837.910383226
2012Q4,2012Q4,Brazil,BRA,558458.944153334
2012Q4,2012Q4,China,CHN,1782382.27700326
2012Q4,2012Q4,India,IND,445084.499480535
2012Q4,2012Q4,Indonesia,IDN,207584.423151746
2012Q4,2012Q4,Mexico,MEX,279773.251179471
2012Q4,2012Q4,Poland,POL,132086.781864386
2012Q4,2012Q4,South Africa,ZAF,94723.5047122605
2012Q4,2012Q4,Korea Rep.,KOR,306327.494896047
2012Q4,2012Q4,Turkey,TUR,220581.054202137
2013Q1,2013Q1,Argentina,ARG,107664.356251776
2013Q1,2013Q1,Brazil,BRA,557906.203029568
2013Q1,2013Q1,China,CHN,1815121.0094113
2013Q1,2013Q1,India,IND,453277.922754515
2013Q1,2013Q1,Indonesia,IDN,210644.668826137
2013Q1,2013Q1,Mexico,MEX,280554.003725884
2013Q1,2013Q1,Poland,POL,132350.951924168
2013Q1,2013Q1,South Africa,ZAF,95116.1010837543
2013Q1,2013Q1,Korea Rep.,KOR,309028.465566112
2013Q1,2013Q1,Turkey,TUR,228568.226025028
2013Q2,2013Q2,Argentina,ARG,108380.562113089
2013Q2,2013Q2,Brazil,BRA,570931.667772228
2013Q2,2013Q2,China,CHN,1846150.28032702
2013Q2,2013Q2,India,IND,458800.244771526
2013Q2,2013Q2,Indonesia,IDN,213707.040083729
2013Q2,2013Q2,Mexico,MEX,278759.163146502
2013Q2,2013Q2,Poland,POL,133806.80720812
2013Q2,2013Q2,South Africa,ZAF,96124.3746853375
2013Q2,2013Q2,Korea Rep.,KOR,312663.99537571
2013Q2,2013Q2,Turkey,TUR,234552.618911539
,,,,
,,,,
,,,,
Data from database: Global Economic Monitor (GEM),,,,
Last Updated: 07/27/2020,,,,
