Time,Time Code,Country,Country Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]"
2002Q2,2002Q2,Korea Rep.,KOR,203169.527266861
2002Q2,2002Q2,Turkey,TUR,125437.933476857
2002Q3,2002Q3,Argentina,ARG,65646.7484496723
2002Q3,2002Q3,Brazil,BRA,381616.908566108
2002Q3,2002Q3,China,CHN,643866.253399683
2002Q3,2002Q3,India,IND,205384.572283788
2002Q3,2002Q3,Indonesia,IDN,116975.058896359
2002Q3,2002Q3,Mexico,MEX,223280.94242788
2002Q3,2002Q3,Poland,POL,87870.2102429387
2002Q3,2002Q3,South Africa,ZAF,67866.7742062859
2002Q3,2002Q3,Korea Rep.,KOR,207277.235091621
2002Q3,2002Q3,Turkey,TUR,127134.565559509
2002Q4,2002Q4,Argentina,ARG,66719.2697426679
2002Q4,2002Q4,Brazil,BRA,386092.447899343
2002Q4,2002Q4,China,CHN,658751.04610929
2002Q4,2002Q4,India,IND,206169.693823808
2002Q4,2002Q4,Indonesia,IDN,117181.989447913
2002Q4,2002Q4,Mexico,MEX,223977.291158836
2002Q4,2002Q4,Poland,POL,87958.083716661
2002Q4,2002Q4,South Africa,ZAF,68320.0693230255
2002Q4,2002Q4,Korea Rep.,KOR,209551.800105136
2002Q4,2002Q4,Turkey,TUR,127900.786831358
2003Q1,2003Q1,Argentina,ARG,64495.9097651654
2003Q1,2003Q1,Brazil,BRA,381300.792405024
2003Q1,2003Q1,China,CHN,678056.649747069
2003Q1,2003Q1,India,IND,209174.754670607
2003Q1,2003Q1,Indonesia,IDN,119455.69863697
2003Q1,2003Q1,Mexico,MEX,224454.935318097
2003Q1,2003Q1,Poland,POL,88309.9211356848
2003Q1,2003Q1,South Africa,ZAF,68952.3479193361
2003Q1,2003Q1,Korea Rep.,KOR,208170.51880602
2003Q1,2003Q1,Turkey,TUR,129754.768505949
2003Q2,2003Q2,Argentina,ARG,66530.3749664376
2003Q2,2003Q2,Brazil,BRA,380041.873658252
2003Q2,2003Q2,China,CHN,683686.922715761
2003Q2,2003Q2,India,IND,214853.026800502
2003Q2,2003Q2,Indonesia,IDN,121095.604781354
2003Q2,2003Q2,Mexico,MEX,225011.255151619
2003Q2,2003Q2,Poland,POL,90164.4361782548
2003Q2,2003Q2,South Africa,ZAF,69289.0443780073
2003Q2,2003Q2,Korea Rep.,KOR,207849.63048143
2003Q2,2003Q2,Turkey,TUR,130225.105583311
2003Q3,2003Q3,Argentina,ARG,72613.7712194062
2003Q3,2003Q3,Brazil,BRA,383918.456054698
2003Q3,2003Q3,China,CHN,709013.364671847
2003Q3,2003Q3,India,IND,220513.075977478
2003Q3,2003Q3,Indonesia,IDN,122336.751381588
2003Q3,2003Q3,Mexico,MEX,224998.970704234
2003Q3,2003Q3,Poland,POL,91156.2247082916
2003Q3,2003Q3,South Africa,ZAF,69665.03938328
2003Q3,2003Q3,Korea Rep.,KOR,211866.676915184
2003Q3,2003Q3,Turkey,TUR,133991.219436997
2003Q4,2003Q4,Argentina,ARG,75087.1157687149
2003Q4,2003Q4,Brazil,BRA,388613.982657928
2003Q4,2003Q4,China,CHN,728347.488044615
2003Q4,2003Q4,India,IND,230538.769212432
2003Q4,2003Q4,Indonesia,IDN,122559.312968405
2003Q4,2003Q4,Mexico,MEX,227353.926873352
2003Q4,2003Q4,Poland,POL,91429.7042721316
2003Q4,2003Q4,South Africa,ZAF,70066.9740232731
2003Q4,2003Q4,Korea Rep.,KOR,217458.854601898
2003Q4,2003Q4,Turkey,TUR,136695.227824347
2004Q1,2004Q1,Argentina,ARG,71485.6708674699
2004Q1,2004Q1,Brazil,BRA,395679.456153024
2004Q1,2004Q1,China,CHN,746199.433147763
2004Q1,2004Q1,India,IND,227260.555892389
2004Q1,2004Q1,Indonesia,IDN,124465.407793485
2004Q1,2004Q1,Mexico,MEX,230422.623238263
2004Q1,2004Q1,Poland,POL,94264.0188524284
2004Q1,2004Q1,South Africa,ZAF,71127.6456869916
2004Q1,2004Q1,Korea Rep.,KOR,220187.529594281
2004Q1,2004Q1,Turkey,TUR,142175.077051623
2004Q2,2004Q2,Argentina,ARG,70664.5268368795
2004Q2,2004Q2,Brazil,BRA,403839.320100526
2004Q2,2004Q2,China,CHN,760684.174169503
2004Q2,2004Q2,India,IND,233280.652254954
2004Q2,2004Q2,Indonesia,IDN,126402.965284509
2004Q2,2004Q2,Mexico,MEX,234138.737585839
2004Q2,2004Q2,Poland,POL,95018.1230334879
2004Q2,2004Q2,South Africa,ZAF,72121.6524894786
2004Q2,2004Q2,Korea Rep.,KOR,221868.659993502
2004Q2,2004Q2,Turkey,TUR,145181.810949835
2004Q3,2004Q3,Argentina,ARG,74226.408971033
2004Q3,2004Q3,Brazil,BRA,409546.048692719
2004Q3,2004Q3,China,CHN,780126.073647712
2004Q3,2004Q3,India,IND,239813.868607636
2004Q3,2004Q3,Indonesia,IDN,127938.098318195
2004Q3,2004Q3,Mexico,MEX,233822.65461381
2004Q3,2004Q3,Poland,POL,94638.0479305706
2004Q3,2004Q3,South Africa,ZAF,73300.8682838696
2004Q3,2004Q3,Korea Rep.,KOR,222768.52850335
2004Q3,2004Q3,Turkey,TUR,145694.905569859
2004Q4,2004Q4,Argentina,ARG,75304.4822612421
2004Q4,2004Q4,Brazil,BRA,413123.15262077
2004Q4,2004Q4,China,CHN,795999.411992421
2004Q4,2004Q4,India,IND,242437.973828127
2004Q4,2004Q4,Indonesia,IDN,130956.153248673
2004Q4,2004Q4,Mexico,MEX,236686.311129398
2004Q4,2004Q4,Poland,POL,95679.0978215604
2004Q4,2004Q4,South Africa,ZAF,74083.5967615586
2004Q4,2004Q4,Korea Rep.,KOR,224456.966419472
2004Q4,2004Q4,Turkey,TUR,147331.677503592
2005Q1,2005Q1,Argentina,ARG,77476.6061634514
2005Q1,2005Q1,Brazil,BRA,411880.871566687
2005Q1,2005Q1,China,CHN,825918.704682737
2005Q1,2005Q1,India,IND,248084.787386666
2005Q1,2005Q1,Indonesia,IDN,132165.048926466
2005Q1,2005Q1,Mexico,MEX,237047.391066004
