Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (constant 2015 US$) [NY.GDP.MKTP.KD]
2000,YR2000,China,CHN,8.49009340575191,2770108015881.17
2000,YR2000,Argentina,ARG,-0.78899893905691,395646066535.875
2000,YR2000,Brazil,BRA,4.38794944267383,1186420534650.82
2000,YR2000,India,IND,3.84099115681285,800534271756.71
2000,YR2000,Indonesia,IDN,4.9200677470169,395012383689.125
2000,YR2000,Mexico,MEX,4.94245371467422,876437526455.268
2000,YR2000,Poland,POL,4.56102546838335,281460153689.591
2000,YR2000,South Africa,ZAF,4.2000034755179,202619856073.782
2000,YR2000,"Korea, Rep.",KOR,9.06083332508534,798784342587.129
2000,YR2000,Turkey,TUR,6.93323970455904,413826859269.854
2001,YR2001,China,CHN,8.3357334781433,3001016837141.71
2001,YR2001,Argentina,ARG,-4.40883968258557,378202665751.853
2001,YR2001,Brazil,BRA,1.38989640325893,1202910550989.46
2001,YR2001,India,IND,4.82396626390641,839151774957.263
2001,YR2001,Indonesia,IDN,3.64346644721492,409404527351.182
2001,YR2001,Mexico,MEX,-0.404390126692846,872893299631.652
2001,YR2001,Poland,POL,1.25847269363186,285002252867.229
2001,YR2001,South Africa,ZAF,2.69999456713745,208090581179.716
2001,YR2001,"Korea, Rep.",KOR,4.85239957151281,837544550604.138
2001,YR2001,Turkey,TUR,-5.75000655464257,390031787736.966
2002,YR2002,China,CHN,9.13363078993316,3275118634989.96
2002,YR2002,Argentina,ARG,-10.8944848285903,336999433710.193
2002,YR2002,Brazil,BRA,3.05346185795257,1239640965849.21
2002,YR2002,India,IND,3.8039753213758,871072901385.524
2002,YR2002,Indonesia,IDN,4.49947539085764,427825583308.405
2002,YR2002,Mexico,MEX,-0.0398444814685348,872545499822.64
2002,YR2002,Poland,POL,2.03590350105117,290804623711.427
2002,YR2002,South Africa,ZAF,3.70038235175593,215790728321.356
2002,YR2002,"Korea, Rep.",KOR,7.72514267547173,902246062108.946
2002,YR2002,Turkey,TUR,6.44772204681594,415179953304.473
2003,YR2003,China,CHN,10.038030481108,3603876041862.7
2003,YR2003,Argentina,ARG,8.83704079576924,366780211148.674
2003,YR2003,Brazil,BRA,1.14082899810009,1253783149459.94
2003,YR2003,India,IND,7.86038147553259,939542554364.416
2003,YR2003,Indonesia,IDN,4.78036912167654,448277225387.513
2003,YR2003,Mexico,MEX,1.4463826837036,885165846839.51
2003,YR2003,Poland,POL,3.49839918393234,300978130294.185
2003,YR2003,South Africa,ZAF,2.9490791374903,222154567670.92
2003,YR2003,"Korea, Rep.",KOR,3.14729119373409,930642372967.514
2003,YR2003,Turkey,TUR,5.76320606654714,439107629560.404
2004,YR2004,China,CHN,10.1136213780461,3968358419670.81
2004,YR2004,Argentina,ARG,9.02957330068152,399898899166.738
2004,YR2004,Brazil,BRA,5.75996463871775,1326000615515.04
2004,YR2004,India,IND,7.92293661286503,1013981915397.6
2004,YR2004,Indonesia,IDN,5.03087394501685,470829487520.977
2004,YR2004,Mexico,MEX,3.92059081028791,919869577686.507
2004,YR2004,Poland,POL,4.98282212348474,315975335157.335
2004,YR2004,South Africa,ZAF,4.55455274472709,232272714630.312
2004,YR2004,"Korea, Rep.",KOR,5.19739136324382,979011499282.814
2004,YR2004,Turkey,TUR,9.79593638920282,482122333632.277
2005,YR2005,China,CHN,11.3945918097286,4420536663139.3
2005,YR2005,Argentina,ARG,8.85165992013437,435296589745.339
2005,YR2005,Brazil,BRA,3.20213137990235,1368460897322.14
2005,YR2005,India,IND,7.92343062149763,1094324068978.66
2005,YR2005,Indonesia,IDN,5.69257130383384,497631791817.584
2005,YR2005,Mexico,MEX,2.30780706591736,941098392797.58
2005,YR2005,Poland,POL,3.50684745343695,327056108151.788
2005,YR2005,South Africa,ZAF,5.2770563116366,244529876577.921
2005,YR2005,"Korea, Rep.",KOR,4.30854271411236,1021192627905.49
2005,YR2005,Turkey,TUR,8.99230493626517,525476244038.33
2006,YR2006,China,CHN,12.7209556651735,4982871172219.99
2006,YR2006,Argentina,ARG,8.04715150043027,470325565798.353
2006,YR2006,Brazil,BRA,3.96198872184988,1422679163736.97
2006,YR2006,India,IND,8.06073257303272,1182534605661.36
2006,YR2006,Indonesia,IDN,5.50095178520348,525006276753.314
2006,YR2006,Mexico,MEX,4.49507789421408,983401498615.029
2006,YR2006,Poland,POL,6.13114394606158,347108388926.961
2006,YR2006,South Africa,ZAF,5.60379765712011,258232836072.553
2006,YR2006,"Korea, Rep.",KOR,5.26432659466724,1074951542999.1
2006,YR2006,Turkey,TUR,6.94798808571993,561986270867.401
2007,YR2007,China,CHN,14.2308609330803,5691976639213.17
2007,YR2007,Argentina,ARG,9.00765087504757,512690850741.56
2007,YR2007,Brazil,BRA,6.0698706077184,1509033948138.77
2007,YR2007,India,IND,7.66081506504928,1273126394881.29
2007,YR2007,Indonesia,IDN,6.34502222667214,558318041704.736
2007,YR2007,Mexico,MEX,2.29144571429802,1005935610109.39
2007,YR2007,Poland,POL,7.06154381310782,371619599890.011
2007,YR2007,South Africa,ZAF,5.36047589053663,272075344991.671
2007,YR2007,"Korea, Rep.",KOR,5.79954841503216,1137293878173.46
2007,YR2007,Turkey,TUR,5.04350793157104,590330093012.939
2008,YR2008,China,CHN,9.65067891955702,6241291028839.82
2008,YR2008,Argentina,ARG,4.05723310346406,533491913656.279
2008,YR2008,Brazil,BRA,5.09419544732717,1585907086823.48
2008,YR2008,India,IND,3.08669805953289,1312423962607.49
